Transaction_ID,Date,Customer_Name,Product,Total_Items,Total_Cost,Payment_Method,City,Store_Type,Discount_Applied,Customer_Category,Season,Promotion
1000000000,2020-12-21 19:42:52,Cheyenne Newman,['Hair Gel'],6,12.77,Debit Card,New York,Convenience Store,True,Student,Winter,None
1000000001,2020-07-06 07:45:16,Emily Fitzgerald,"['Tuna', 'Bread', 'Tissues', 'Trash Bags']",5,13.88,Debit Card,Houston,Supermarket,False,Professional,Fall,BOGO (Buy One Get One)
1000000002,2021-10-02 06:28:44,Michael Webb,"['Jam', 'Soap', 'Ketchup']",7,47.02,Debit Card,Miami,Convenience Store,False,Young Adult,Winter,None
1000000003,2022-01-10 05:39:02,Kimberly Lin,['BBQ Sauce'],9,83.86,Mobile Payment,Seattle,Warehouse Club,True,Senior Citizen,Summer,Discount on Selected Items
1000000004,2021-10-13 07:28:47,Cathy Hernandez,"['Hand Sanitizer', 'Bread', 'Extension Cords', 'Ice Cream', 'Hand Sanitizer']",4,30.55,Debit Card,Houston,Warehouse Club,False,Senior Citizen,Spring,None
1000000005,2021-04-26 20:45:13,Elizabeth Cook,"['Shower Gel', 'Baby Wipes', 'Banana', 'Paper Towels']",10,30.19,Debit Card,Atlanta,Supermarket,True,Teenager,Summer,None
1000000006,2023-10-07 23:36:53,Kara Bradley,"['Cereal', 'Tuna']",3,5.57,Mobile Payment,Boston,Warehouse Club,True,Student,Winter,Discount on Selected Items
1000000007,2022-03-30 00:46:49,Carla Hernandez,"['Iron', 'Extension Cords', 'Eggs', 'Iron', 'Tuna']",1,7.15,Debit Card,Dallas,Warehouse Club,False,Student,Fall,BOGO (Buy One Get One)
1000000008,2020-03-05 23:47:29,Christopher Wang,"['Banana', 'Pickles']",2,20.04,Cash,Chicago,Warehouse Club,False,Teenager,Winter,Discount on Selected Items
1000000009,2023-03-26 13:28:32,Alisha Hudson,"['Ketchup', 'Razors', 'Lawn Mower']",3,88.79,Cash,Dallas,Pharmacy,False,Teenager,Summer,None
1000000010,2023-05-10 16:20:28,Samantha Mcclure,"['Shrimp', 'Soda']",3,28.43,Cash,Seattle,Specialty Store,True,Young Adult,Spring,None
1000000011,2020-01-18 08:59:50,Shari Thomas,"['Soap', 'Vacuum Cleaner', 'Shower Gel', 'Mayonnaise']",9,69.48,Debit Card,San Francisco,Pharmacy,True,Senior Citizen,Fall,None
1000000012,2022-05-30 07:17:29,David Randolph,"['BBQ Sauce', 'Soda', 'Lawn Mower']",9,21.29,Credit Card,Atlanta,Department Store,True,Middle-Aged,Spring,Discount on Selected Items
1000000013,2021-05-21 18:47:34,Maria Munoz,"['Ironing Board', 'Laundry Detergent', 'Deodorant', 'Cereal']",2,47.49,Mobile Payment,Seattle,Convenience Store,False,Retiree,Summer,Discount on Selected Items
1000000014,2023-02-26 11:38:21,Christopher Barnett,"['Lawn Mower', 'Tea']",8,15.67,Credit Card,New York,Warehouse Club,False,Senior Citizen,Fall,None
1000000015,2021-04-28 04:39:49,Jonathan Roach,['Syrup'],9,43.35,Cash,Los Angeles,Pharmacy,True,Retiree,Summer,None
1000000016,2023-04-01 20:30:57,Alexander Hall,"['Tea', 'Spinach', 'Mustard', 'Cleaning Rags', 'Peanut Butter']",9,5.3,Cash,San Francisco,Pharmacy,False,Middle-Aged,Winter,BOGO (Buy One Get One)
1000000017,2022-12-20 12:56:05,Bryan Smith,"['Tuna', 'Bath Towels', 'Potatoes']",8,64.76,Cash,Chicago,Specialty Store,False,Teenager,Winter,Discount on Selected Items
1000000018,2022-12-10 09:44:52,Kayla Sanchez,"['Syrup', 'Yogurt', 'Eggs']",5,78.64,Credit Card,Boston,Convenience Store,True,Senior Citizen,Summer,BOGO (Buy One Get One)
1000000019,2021-01-01 19:48:07,Adam Foster,['Eggs'],1,60.29,Debit Card,San Francisco,Warehouse Club,False,Student,Summer,None
1000000020,2021-10-22 21:05:46,Nancy Mcdonald,"['Eggs', 'Razors', 'Peanut Butter', 'Toothpaste', 'Cheese']",7,98.81,Debit Card,Atlanta,Pharmacy,False,Professional,Spring,BOGO (Buy One Get One)
1000000021,2022-03-21 03:41:10,Mary Chandler,"['Shrimp', 'Milk', 'Dish Soap']",4,16.62,Cash,Los Angeles,Department Store,False,Middle-Aged,Winter,Discount on Selected Items
1000000022,2021-08-30 04:37:17,Kimberly Baird,"['Cereal', 'Water', 'Bread', 'Laundry Detergent']",5,28.99,Credit Card,Los Angeles,Department Store,False,Senior Citizen,Spring,None
1000000023,2022-11-27 11:43:06,Jonathan Campbell,"['Insect Repellent', 'Soda', 'Laundry Detergent']",4,93.1,Mobile Payment,Seattle,Convenience Store,True,Retiree,Winter,BOGO (Buy One Get One)
1000000024,2020-02-21 07:38:04,Larry Stephens,"['Dishware', 'Plant Fertilizer', 'Hair Gel', 'Apple', 'Toothpaste']",5,28.31,Debit Card,Miami,Supermarket,False,Middle-Aged,Spring,None
1000000025,2023-02-26 11:12:54,Jonathan Cross,"['Extension Cords', 'Orange']",10,71.56,Credit Card,New York,Supermarket,False,Professional,Summer,Discount on Selected Items
1000000026,2020-11-22 12:40:00,Michael Powers,"['Pasta', 'Soda', 'Chips', 'Apple', 'Sponges']",6,75.45,Mobile Payment,New York,Warehouse Club,True,Senior Citizen,Fall,Discount on Selected Items
1000000027,2020-09-25 22:12:00,Katrina Martin,"['Salmon', 'Dustpan']",7,86.02,Cash,Atlanta,Department Store,True,Professional,Spring,None
1000000028,2021-01-11 15:48:42,James Allen,"['Feminine Hygiene Products', 'Light Bulbs']",5,18.69,Credit Card,Seattle,Pharmacy,False,Middle-Aged,Winter,BOGO (Buy One Get One)
1000000029,2022-10-10 03:16:45,David Jordan,['Pancake Mix'],3,52.58,Cash,Seattle,Convenience Store,False,Senior Citizen,Spring,None
1000000030,2022-07-16 04:15:22,Kimberly Carlson,"['Trash Bags', 'Cheese', 'Toilet Paper', 'Insect Repellent']",4,9.33,Mobile Payment,Los Angeles,Supermarket,True,Student,Fall,None
1000000031,2022-07-14 01:38:22,Joshua Butler,['Vacuum Cleaner'],6,37.15,Mobile Payment,Dallas,Warehouse Club,True,Retiree,Summer,None
1000000032,2021-06-24 12:18:25,Steve Jimenez,"['Potatoes', 'Olive Oil', 'Laundry Detergent', 'Banana']",6,31.03,Mobile Payment,Atlanta,Pharmacy,True,Middle-Aged,Fall,BOGO (Buy One Get One)
1000000033,2020-12-29 19:59:10,Desiree Diaz,"['Toilet Paper', 'Sponges', 'Yogurt', 'Syrup']",3,44.04,Credit Card,Houston,Pharmacy,False,Middle-Aged,Spring,Discount on Selected Items
1000000034,2023-07-15 17:00:31,Ryan King,"['Pasta', 'Ice Cream', 'Pancake Mix', 'Vinegar', 'Onions']",6,18.49,Mobile Payment,Los Angeles,Supermarket,False,Senior Citizen,Summer,Discount on Selected Items
1000000035,2023-02-04 14:19:51,Russell Hayes,"['Apple', 'Cereal Bars']",10,77.66,Debit Card,New York,Specialty Store,False,Young Adult,Spring,BOGO (Buy One Get One)
1000000036,2020-09-06 10:41:51,Christine Wells,['Rice'],7,14.35,Mobile Payment,Miami,Department Store,True,Middle-Aged,Spring,Discount on Selected Items
